created_at,tweet_id,tweet,likes,retweet_count,user_id,user_name,user_description,user_join_date,user_followers_count,user_location,city,country,continent,state,state_code
2020-10-15 00:00:01,1.316529221557252e+18,"#Elecciones2020 | En #Florida: #JoeBiden dice que #DonaldTrump solo se preocupa por él mismo. El demócrata fue anfitrión de encuentros de electores en #PembrokePines y #Miramar. Clic AQUÍ ⬇️⬇️⬇️
⠀
🌐https://t.co/qhIWpIUXsT
_
#ElSolLatino #yobrilloconelsol https://t.co/6FlCBWf1Mi",0.0,0.0,360666534.0,El Sol Latino News,"🌐 Noticias de interés para latinos de la costa este de #EEUU
⠀⏹️ Facebook e Instagram
⠀🏙️ Philadelphia: /elsollatinonewspaper
⠀🌅 Miami: /elsollatinonewsmiami",2011-08-23 15:33:45,1860.0,"Philadelphia, PA / Miami, FL",,United States of America,North America,Florida,FL
2020-10-15 00:00:01,1.3165292227484303e+18,"Usa 2020, Trump contro Facebook e Twitter: coprono Biden   #donaldtrump https://t.co/6ceURhe1VP https://t.co/94jidLjoON",26.0,9.0,331617619.0,Tgcom24,Profilo ufficiale di Tgcom24: tutte le notizie sul sito https://t.co/sC5iMbymSN e sul canale 51 del digitale terrestre,2011-07-08 13:12:20,1067661.0,,,,,,
2020-10-15 00:00:02,1.316529228091847e+18,"#Trump: As a student I used to hear for years, for ten years, I heard China! In 2019! And we have 1.5 and they don't know how many we have and I asked them how many do we have and they said 'sir we don't know.' But we have millions. Like 300 million.

Um. What?",2.0,1.0,8436472.0,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",2007-08-26 05:56:11,1185.0,Portland,Portland,United States of America,North America,Oregon,OR
2020-10-15 00:00:02,1.316529227471237e+18,2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.,0.0,0.0,8.28355589206057e+17,Trumpytweeter,"If he doesn't tweet for some time, should we be worried?",2017-02-05 21:32:17,32.0,,,,,,
2020-10-15 00:00:08,1.3165292523014513e+18,You get a tie! And you get a tie! #Trump ‘s rally #Iowa https://t.co/jJalUUmh5D,4.0,3.0,47413798.0,Rana Abtar - رنا أبتر,"Washington Correspondent, Lebanese-American ,covering Capitol Hill &DC politics in Arabic for 15+yrs. Mom of identical twins. Beach, chocolate & gym lover.",2009-06-15 19:05:35,5393.0,Washington DC,Washington,United States of America,North America,District of Columbia,DC
2020-10-15 00:00:17,1.316529291052675e+18,"@CLady62 Her 15 minutes were over long time ago. Omarosa never represented the black community! #TheReidOut 

She cried to #Trump begging for a job!",2.0,0.0,1138416104.0,Farris Flagg,#BidenHarris2020 #JoeBiden2020 #KamalaHarrisForVP #IStandWithEllen @KamalaHarris @JoeBiden #TeamJoe #KHive #BidenHarris2020ToSaveAmerica,2013-02-01 01:37:38,2363.0,"Perris,California",,United States of America,North America,California,CA
2020-10-15 00:00:17,1.316529289949569e+18,@richardmarx Glad u got out of the house! DICK!!#trump 2020💪🏽🇺🇸🇺🇸,0.0,0.0,7.674018410302095e+17,Michael Wilson,,2016-08-21 16:43:51,75.0,"Powell, TN",,,,,
2020-10-15 00:00:18,1.3165292934979625e+18,@DeeviousDenise @realDonaldTrump @nypost There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. #Trump,0.0,0.0,9.007610716314296e+17,Stacey Gulledge 🇺🇸 Patriot ♥️ KAG 🙏 👮‍♀️♥️,"Patriot, Wife, “Shaken not Stirred” Mom of two extraordinary kids & labradoodle lover of “Honey Buns” Trust the Plan! Always Save Our Children!",2017-08-24 16:45:49,766.0,"Ohio, USA",,United States of America,North America,Ohio,OH
2020-10-15 00:00:20,1.3165293013329183e+18,One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse. https://t.co/QGB9ODIVS8,0.0,0.0,540476889.0,Jamieo,"Don't know what I am. Can lean left and right, progressive and regressive, moderate and immoderate, right and wrong. All is subject to change.",2012-03-30 00:30:54,151.0,"Pennsylvania, USA",,United States of America,North America,Pennsylvania,PA
2020-10-15 00:00:21,1.3165293085763092e+18,"#Election2020 #Trump 
#FreedomOfSpeech https://t.co/9slOZFZNHJ",0.0,0.0,1.305532976998969e+18,Johnny Quest,"Independent

What is your American Dream?
Teach our children to be Entrepreneurs not Marxists!
Entrepreneurs create jobs and innovate to solve problems",2020-09-14 15:45:18,8.0,,,,,,
